[2025-12-11 00:07:37] Geração 180 — mean=6.9221, best=6.9510, std=0.0148, frac_changed=1.000
[2025-12-11 00:07:44] Geração 181 — mean=6.9257, best=6.9679, std=0.0143, frac_changed=1.000
[2025-12-11 00:07:50] Geração 182 — mean=6.9278, best=6.9688, std=0.0140, frac_changed=1.000
[2025-12-11 00:07:57] Geração 183 — mean=6.9298, best=6.9688, std=0.0153, frac_changed=1.000
[2025-12-11 00:08:04] Geração 184 — mean=6.9328, best=6.9694, std=0.0163, frac_changed=1.000
[2025-12-11 00:08:11] Geração 185 — mean=6.9362, best=6.9713, std=0.0151, frac_changed=1.000
[2025-12-11 00:08:18] Geração 186 — mean=6.9408, best=6.9713, std=0.0150, frac_changed=1.000
[2025-12-11 00:08:25] Geração 187 — mean=6.9457, best=6.9837, std=0.0132, frac_changed=1.000
[2025-12-11 00:08:31] Geração 188 — mean=6.9489, best=6.9837, std=0.0129, frac_changed=1.000
[2025-12-11 00:08:38] Geração 189 — mean=6.9518, best=6.9852, std=0.0128, frac_changed=1.000
[2025-12-11 00:08:45] Geração 190 — mean=6.9529, best=6.9875, std=0.0132, frac_changed=1.000
[2025-12-11 00:08:52] Geração 191 — mean=6.9557, best=6.9932, std=0.0145, frac_changed=1.000
[2025-12-11 00:08:59] Geração 192 — mean=6.9593, best=6.9932, std=0.0149, frac_changed=1.000
[2025-12-11 00:09:06] Geração 193 — mean=6.9629, best=6.9988, std=0.0132, frac_changed=1.000
[2025-12-11 00:09:13] Geração 194 — mean=6.9649, best=6.9988, std=0.0134, frac_changed=1.000
[2025-12-11 00:09:20] Geração 195 — mean=6.9687, best=7.0085, std=0.0134, frac_changed=1.000
[2025-12-11 00:09:27] Geração 196 — mean=6.9710, best=7.0086, std=0.0136, frac_changed=1.000
[2025-12-11 00:09:33] Geração 197 — mean=6.9746, best=7.0095, std=0.0141, frac_changed=1.000
[2025-12-11 00:09:40] Geração 198 — mean=6.9785, best=7.0118, std=0.0135, frac_changed=1.000
[2025-12-11 00:09:47] Geração 199 — mean=6.9808, best=7.0118, std=0.0138, frac_changed=1.000
[2025-12-11 00:09:54] Geração 200 — mean=6.9830, best=7.0137, std=0.0131, frac_changed=1.000
[2025-12-11 00:10:01] Geração 201 — mean=6.9859, best=7.0137, std=0.0128, frac_changed=1.000
[2025-12-11 00:10:07] Geração 202 — mean=6.9897, best=7.0204, std=0.0128, frac_changed=1.000
[2025-12-11 00:10:14] Geração 203 — mean=6.9926, best=7.0232, std=0.0134, frac_changed=1.000
[2025-12-11 00:10:21] Geração 204 — mean=6.9973, best=7.0358, std=0.0124, frac_changed=1.000
[2025-12-11 00:10:29] Geração 205 — mean=7.0017, best=7.0414, std=0.0129, frac_changed=1.000
[2025-12-11 00:10:35] Geração 206 — mean=7.0053, best=7.0469, std=0.0128, frac_changed=1.000
[2025-12-11 00:10:42] Geração 207 — mean=7.0072, best=7.0469, std=0.0131, frac_changed=1.000
[2025-12-11 00:10:49] Geração 208 — mean=7.0112, best=7.0469, std=0.0128, frac_changed=1.000
[2025-12-11 00:10:56] Geração 209 — mean=7.0140, best=7.0469, std=0.0138, frac_changed=1.000
[2025-12-11 00:11:03] Geração 210 — mean=7.0191, best=7.0633, std=0.0127, frac_changed=1.000
[2025-12-11 00:11:10] Geração 211 — mean=7.0230, best=7.0633, std=0.0132, frac_changed=1.000
[2025-12-11 00:11:16] Geração 212 — mean=7.0268, best=7.0633, std=0.0126, frac_changed=1.000
[2025-12-11 00:11:23] Geração 213 — mean=7.0288, best=7.0641, std=0.0129, frac_changed=1.000
[2025-12-11 00:11:30] Geração 214 — mean=7.0321, best=7.0671, std=0.0130, frac_changed=1.000
[2025-12-11 00:11:37] Geração 215 — mean=7.0354, best=7.0671, std=0.0131, frac_changed=1.000
[2025-12-11 00:11:44] Geração 216 — mean=7.0385, best=7.0709, std=0.0136, frac_changed=1.000
[2025-12-11 00:11:51] Geração 217 — mean=7.0415, best=7.0731, std=0.0133, frac_changed=1.000
[2025-12-11 00:11:57] Geração 218 — mean=7.0446, best=7.0727, std=0.0127, frac_changed=1.000
[2025-12-11 00:12:04] Geração 219 — mean=7.0486, best=7.0762, std=0.0118, frac_changed=1.000
[2025-12-11 00:12:12] Geração 220 — mean=7.0519, best=7.0762, std=0.0094, frac_changed=1.000
[2025-12-11 00:12:18] Geração 221 — mean=7.0532, best=7.0762, std=0.0088, frac_changed=1.000
[2025-12-11 00:12:25] Geração 222 — mean=7.0537, best=7.0762, std=0.0097, frac_changed=1.000
[2025-12-11 00:12:32] Geração 223 — mean=7.0555, best=7.0773, std=0.0100, frac_changed=1.000
