[2025-12-10 21:26:45] Geração 193 — mean=-36.70903778076172, best=-23.329151153564453, std=4.8833208084106445
[2025-12-10 21:26:52] Geração 194 — mean=-36.40264892578125, best=-23.329151153564453, std=4.294330596923828
[2025-12-10 21:26:59] Geração 195 — mean=-36.70667266845703, best=-23.329151153564453, std=4.306282043457031
[2025-12-10 21:27:06] Geração 196 — mean=-36.27619552612305, best=-23.329151153564453, std=4.310036659240723
[2025-12-10 21:27:12] Geração 197 — mean=-36.125667572021484, best=-23.329151153564453, std=4.2100934982299805
[2025-12-10 21:27:19] Geração 198 — mean=-36.17152404785156, best=-23.329151153564453, std=4.2363457679748535
[2025-12-10 21:27:26] Geração 199 — mean=-36.058570861816406, best=-23.329151153564453, std=4.115890979766846
[2025-12-10 21:27:33] Geração 200 — mean=-36.105865478515625, best=-23.329151153564453, std=4.067453384399414
[2025-12-10 21:27:40] Geração 201 — mean=-36.289154052734375, best=-23.329151153564453, std=3.9387409687042236
[2025-12-10 21:27:46] Geração 202 — mean=-36.313819885253906, best=-23.329151153564453, std=4.2090654373168945
[2025-12-10 21:27:53] Geração 203 — mean=-35.823822021484375, best=-23.329151153564453, std=4.546389102935791
[2025-12-10 21:28:00] Geração 204 — mean=-35.16886901855469, best=-23.329151153564453, std=4.762456893920898
[2025-12-10 21:28:07] Geração 205 — mean=-34.61595916748047, best=-23.329151153564453, std=4.925108432769775
[2025-12-10 21:28:14] Geração 206 — mean=-34.42780303955078, best=-23.329151153564453, std=4.541878700256348
[2025-12-10 21:28:21] Geração 207 — mean=-34.344146728515625, best=-23.329151153564453, std=4.299193859100342
[2025-12-10 21:28:28] Geração 208 — mean=-33.9594841003418, best=-23.329151153564453, std=4.1158061027526855
[2025-12-10 21:28:35] Geração 209 — mean=-33.983211517333984, best=-23.329151153564453, std=4.093594551086426
[2025-12-10 21:28:41] Geração 210 — mean=-33.76689147949219, best=-23.329151153564453, std=3.946049451828003
[2025-12-10 21:28:48] Geração 211 — mean=-33.48697280883789, best=-23.329151153564453, std=4.143774032592773
[2025-12-10 21:28:55] Geração 212 — mean=-33.360958099365234, best=-23.329151153564453, std=4.079272270202637
[2025-12-10 21:29:02] Geração 213 — mean=-33.41305160522461, best=-23.329151153564453, std=3.926102638244629
[2025-12-10 21:29:09] Geração 214 — mean=-33.05293655395508, best=-23.329151153564453, std=3.9196605682373047
[2025-12-10 21:29:15] Geração 215 — mean=-32.81608200073242, best=-23.329151153564453, std=3.6794145107269287
[2025-12-10 21:29:22] Geração 216 — mean=-32.82091522216797, best=-23.329151153564453, std=3.762178421020508
[2025-12-10 21:29:29] Geração 217 — mean=-32.583431243896484, best=-23.329151153564453, std=3.789332866668701
[2025-12-10 21:29:36] Geração 218 — mean=-32.34426498413086, best=-23.329151153564453, std=3.726210117340088
[2025-12-10 21:29:43] Geração 219 — mean=-31.989870071411133, best=-23.329151153564453, std=3.79056453704834
[2025-12-10 21:29:50] Geração 220 — mean=-31.975936889648438, best=-23.329151153564453, std=3.5894505977630615
[2025-12-10 21:29:57] Geração 221 — mean=-31.807281494140625, best=-23.329151153564453, std=3.666639566421509
[2025-12-10 21:30:04] Geração 222 — mean=-31.895549774169922, best=-23.329151153564453, std=3.559349536895752
[2025-12-10 21:30:11] Geração 223 — mean=-31.57217025756836, best=-23.329151153564453, std=3.556187868118286
[2025-12-10 21:30:17] Geração 224 — mean=-31.293386459350586, best=-23.329151153564453, std=3.4108686447143555
[2025-12-10 21:30:24] Geração 225 — mean=-31.511768341064453, best=-23.329151153564453, std=3.2253992557525635
[2025-12-10 21:30:31] Geração 226 — mean=-31.853904724121094, best=-23.329151153564453, std=3.0711469650268555
[2025-12-10 21:30:38] Geração 227 — mean=-31.654796600341797, best=-23.329151153564453, std=3.050489902496338
[2025-12-10 21:30:45] Geração 228 — mean=-31.65463638305664, best=-23.329151153564453, std=2.9197490215301514
[2025-12-10 21:30:51] Geração 229 — mean=-32.181915283203125, best=-23.329151153564453, std=3.059182643890381
[2025-12-10 21:30:58] Geração 230 — mean=-32.04574203491211, best=-23.329151153564453, std=3.0614330768585205
[2025-12-10 21:31:05] Geração 231 — mean=-32.219337463378906, best=-23.329151153564453, std=3.1000711917877197
[2025-12-10 21:31:12] Geração 232 — mean=-32.09394454956055, best=-23.329151153564453, std=3.1638731956481934
[2025-12-10 21:31:19] Geração 233 — mean=-32.009803771972656, best=-23.329151153564453, std=3.3973007202148438
[2025-12-10 21:31:26] Geração 234 — mean=-31.52206039428711, best=-23.329151153564453, std=3.4580276012420654
[2025-12-10 21:31:33] Geração 235 — mean=-30.84906768798828, best=-23.329151153564453, std=3.347252607345581
[2025-12-10 21:31:40] Geração 236 — mean=-30.482860565185547, best=-23.329151153564453, std=3.4569091796875
[2025-12-10 21:31:47] Geração 237 — mean=-30.05816650390625, best=-23.329151153564453, std=3.1169166564941406
[2025-12-10 21:31:53] Geração 238 — mean=-29.794504165649414, best=-23.329151153564453, std=2.8590376377105713
[2025-12-10 21:32:00] Geração 239 — mean=-29.7698917388916, best=-23.31499481201172, std=2.4430346488952637
[2025-12-10 21:32:07] Geração 240 — mean=-30.198314666748047, best=-23.313581466674805, std=2.485642433166504
[2025-12-10 21:32:14] Geração 241 — mean=-30.2637882232666, best=-23.313581466674805, std=2.5817060470581055
[2025-12-10 21:32:21] Geração 242 — mean=-30.234622955322266, best=-23.313581466674805, std=2.4959943294525146
[2025-12-10 21:32:27] Geração 243 — mean=-30.29729652404785, best=-23.313581466674805, std=2.3790359497070312
[2025-12-10 21:32:34] Geração 244 — mean=-30.39130210876465, best=-23.313581466674805, std=2.3881802558898926
[2025-12-10 21:32:41] Geração 245 — mean=-30.465362548828125, best=-23.313581466674805, std=2.3294785022735596
[2025-12-10 21:32:48] Geração 246 — mean=-30.5085506439209, best=-23.310897827148438, std=2.343435049057007
[2025-12-10 21:32:55] Geração 247 — mean=-30.505460739135742, best=-23.310897827148438, std=2.506683349609375
[2025-12-10 21:33:01] Geração 248 — mean=-30.094623565673828, best=-23.31064224243164, std=2.3730928897857666
[2025-12-10 21:33:09] Geração 249 — mean=-29.937374114990234, best=-23.31064224243164, std=2.295727491378784
